FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,Native Hawaiian/Other Pacific Islander,NumHispanic, Hispanic,Num Non-Hispanic White,Non-Hispanic White,Num Not Proficient in English,Not Proficient in English,95Per CI - Low,95Per CI - High,PerFemale,PerRural,PerRural,
01001,Alabama,Autauga,827,450,419,481,532,,445,31,56.2,38.2,79.8,,,,34,8,5,11,,,,13,12,13,13,12,13,12,10,15,103,226,7680,14,6544,12,17,10,5.0,78,20,16,25,36,35,37,4102,12,11,14,371,3,2,3,10674,29,3464:1,15,54487,50196,58778,32173,72411,58556,48,26,24,4,2,6,47,17,13,23,55416,24.4,14.7,10556,19.0,269,0.5,632,1.1,56,0.1,1490,2.7,41562,75.0,432,0.8,0.5,1.2,51.3,22921,42.0,
01003,Alabama,Baldwin,2753,351,338,365,518,111,349,85,47.7,38.1,59.0,87.0,,44.5,85,6,4,7,11,,5,13,12,13,13,12,13,11,10,13,282,164,25350,13,9887,5,113,18,10.0,209,15,13,17,33,32,34,17437,15,13,16,1523,3,2,4,9537,44,2292:1,15,56460,52635,60285,26818,41908,54184,46,44,31,3,2,4,147,15,12,17,208563,21.7,19.7,18860,9.0,1608,0.8,2242,1.1,124,0.1,9211,4.4,173529,83.2,1540,0.8,0.5,1.1,51.5,77060,42.3,
01005,Alabama,Barbour,418,434,391,477,477,,395,15,66.6,37.3,109.8,,,,,,,,,,,16,16,17,15,14,15,18,15,22,97,436,6290,23,2949,11,,,4.0,35,19,13,26,39,38,40,2289,17,15,20,209,4,2,5,9791,27,3709:1,31,32884,29071,36697,21546,25850,46673,66,26,22,9,5,14,19,14,9,22,25965,21.1,18.0,12337,47.5,164,0.6,117,0.5,45,0.2,1094,4.2,12061,46.5,382,1.5,0.8,2.2,46.9,18613,67.8,
01007,Alabama,Bibb,408,529,477,581,630,,527,22,116.3,72.9,176.1,,,,25,15,10,22,,,,13,13,14,13,13,13,15,12,18,37,192,3650,16,596,3,15,22,8.0,43,27,20,37,38,37,39,1890,15,13,17,151,3,2,4,10756,75,1332:1,25,43079,38095,48063,28256,45909,42020,61,43,42,8,4,14,24,21,14,32,22643,20.8,15.4,4895,21.6,86,0.4,45,0.2,27,0.1,566,2.5,16850,74.4,96,0.4,0.0,1.0,46.4,15663,68.4,
01009,Alabama,Blount,996,480,449,511,,,,30,55.4,37.4,79.1,,,,25,5,3,8,,,,14,13,14,14,13,14,14,12,18,46,95,6510,11,1651,3,37,21,8.0,91,23,18,28,36,35,37,6040,18,16,20,624,4,3,6,10326,12,8243:1,15,47213,42214,52212,37647,34375,48045,55,40,24,6,4,9,55,19,14,25,57704,23.2,18.0,828,1.4,362,0.6,153,0.3,65,0.1,5233,9.1,50472,87.5,1018,1.9,1.3,2.4,50.6,51562,90.0,
01011,Alabama,Bullock,209,582,501,663,659,,438,12,133.9,69.2,233.9,,,,,,,,,,,17,16,17,15,14,15,20,15,25,61,691,2610,24,2155,20,,,5.0,36,48,34,67,45,44,46,1015,19,17,22,73,3,2,4,10314,77,1295:1,40,34278,31225,37331,24411,,52036,67,20,19,,,,,,,,10362,21.3,16.3,7178,69.3,94,0.9,27,0.3,76,0.7,807,7.8,2231,21.5,95,1.0,0.0,2.2,46.0,5607,51.4,
01013,Alabama,Butler,422,603,542,663,731,,530,19,100.2,60.3,156.5,,,,,,,,,,,16,16,17,15,15,16,18,14,21,45,268,4480,22,613,3,,,5.0,30,21,14,30,42,41,43,1876,16,14,18,134,3,2,4,10176,55,1818:1,21,35409,31516,39302,23904,,44208,73,30,29,16,10,24,31,31,21,44,19998,23.6,19.0,8820,44.1,76,0.4,215,1.1,10,0.1,262,1.3,10442,52.2,166,0.9,0.1,1.7,53.4,14921,71.2,
01015,Alabama,Calhoun,2286,564,540,588,628,289,566,79,77.3,61.2,96.3,130.5,,61.3,82,9,7,11,16,,6,13,13,13,14,13,14,16,14,19,206,211,20280,17,10883,9,54,16,6.0,139,17,14,20,41,40,42,10078,15,13,16,762,3,2,4,10901,51,1976:1,19,41778,38237,45319,26523,31331,47514,59,47,42,9,7,12,129,22,18,26,114611,21.8,16.9,23764,20.7,596,0.5,1054,0.9,113,0.1,4100,3.6,83235,72.6,776,0.7,0.4,1.0,51.9,39955,33.7,
01017,Alabama,Chambers,688,529,487,570,501,,567,17,58.6,34.1,93.8,,,,20,7,5,11,,,,15,15,16,15,14,15,16,13,20,106,367,6920,20,3534,10,,,6.0,55,23,17,30,37,36,38,3463,17,15,19,221,3,2,4,9257,15,6769:1,26,39530,36264,42796,28558,16691,42945,71,29,30,10,6,15,44,26,19,35,33843,21.2,19.1,13317,39.3,100,0.3,367,1.1,21,0.1,765,2.3,18967,56.0,114,0.4,0.0,0.7,52.0,16816,49.1,
01019,Alabama,Cherokee,571,546,497,595,923,,533,,,,,,,,,,,,,,,13,13,13,14,13,14,13,10,17,20,90,3630,14,57,0,12,15,8.0,60,33,25,43,35,34,37,2201,15,13,17,169,3,2,4,11470,47,2144:1,,41456,36608,46304,33934,,39764,63,26,20,8,4,13,28,22,14,31,25725,19.8,22.0,1104,4.3,162,0.6,66,0.3,8,0.0,413,1.6,23588,91.7,15,0.1,0.0,0.5,50.4,22282,85.7,
