FIPS,State,County,Number_Adult_Deaths,Age_Adjusted_Mortality,Age_Adjusted_Mortality_Black,Age_Adjusted_Mortality_Hispanic,Age_Adjusted_Mortality_White,Number_Child_Deaths,Child_Mortality_Rate,Child_Mortality_Rate_Black,Child_Mortality_Rate_Hispanic,Child_Mortality_Rate_White,Number_Infant_Deaths,Infant Mortality Rate,Infant_Mortality_Rate_Black,Infant_Mortality_Rate_Hispanic,Infant_Mortality_Rate_White,Percent_Frequent_Physical_Distress,Percent_Frequent_Mental_Distress,Percent_Diabetic,HIV_Prevalence_Rate,Percent_Food_Insecure,Percent_Limited_Access,Drug_Overdose_Mortality_Rate,Range Drug Overdose Mortality Rate,Motor_Vehicle_Mortality_Rate,Percent_Insufficient_ Sleep,Percent_Uninsured_Adults,Percent_Uninsured_Children,Heath_Care_Costs,PCP_Rate,PCP_Ratio,Percent_Disconnected_Youth,Household_Income,Household_ income_Black,Household_ income_Hispanic,Household_ income_White,Percent_Free_Reduced_Lunch,Segregation_Index_Black_White,Segregation_Index_Nonwhite_White,Homicide_Rate,Firearm_Fatalities_Rate,Population,Percent_Under18,Percent_65_and_over,Percent_African_American,Percent_American_Alaskan_Indian,Percent_Asian,Percent_Hawaiian_PacificIslander,Percent_Hispanic,Percent_White,Percent_ Not_Proficient_English,Percent_Female,Percent_Rural,
01001,Alabama,Autauga,827,450,532,,445,31,56.2,,,,34,8,,,,13,13,12,226,14,12,10,5.0,20,36,12,3,10674,29,3464:1,15,54487,32173,72411,58556,48,26,24,4,17,55416,24.4,14.7,19.0,0.5,1.1,0.1,2.7,75.0,0.8,51.3,42.0,
01003,Alabama,Baldwin,2753,351,518,111,349,85,47.7,87.0,,44.5,85,6,11,,5,13,13,11,164,13,5,18,10.0,15,33,15,3,9537,44,2292:1,15,56460,26818,41908,54184,46,44,31,3,15,208563,21.7,19.7,9.0,0.8,1.1,0.1,4.4,83.2,0.8,51.5,42.3,
01005,Alabama,Barbour,418,434,477,,395,15,66.6,,,,,,,,,16,15,18,436,23,11,,4.0,19,39,17,4,9791,27,3709:1,31,32884,21546,25850,46673,66,26,22,9,14,25965,21.1,18.0,47.5,0.6,0.5,0.2,4.2,46.5,1.5,46.9,67.8,
01007,Alabama,Bibb,408,529,630,,527,22,116.3,,,,25,15,,,,13,13,15,192,16,3,22,8.0,27,38,15,3,10756,75,1332:1,25,43079,28256,45909,42020,61,43,42,8,21,22643,20.8,15.4,21.6,0.4,0.2,0.1,2.5,74.4,0.4,46.4,68.4,
01009,Alabama,Blount,996,480,,,,30,55.4,,,,25,5,,,,14,14,14,95,11,3,21,8.0,23,36,18,4,10326,12,8243:1,15,47213,37647,34375,48045,55,40,24,6,19,57704,23.2,18.0,1.4,0.6,0.3,0.1,9.1,87.5,1.9,50.6,90.0,
01011,Alabama,Bullock,209,582,659,,438,12,133.9,,,,,,,,,17,15,20,691,24,20,,5.0,48,45,19,3,10314,77,1295:1,40,34278,24411,,52036,67,20,19,,,10362,21.3,16.3,69.3,0.9,0.3,0.7,7.8,21.5,1.0,46.0,51.4,
01013,Alabama,Butler,422,603,731,,530,19,100.2,,,,,,,,,16,15,18,268,22,3,,5.0,21,42,16,3,10176,55,1818:1,21,35409,23904,,44208,73,30,29,16,31,19998,23.6,19.0,44.1,0.4,1.1,0.1,1.3,52.2,0.9,53.4,71.2,
01015,Alabama,Calhoun,2286,564,628,289,566,79,77.3,130.5,,61.3,82,9,16,,6,13,14,16,211,17,9,16,6.0,17,41,15,3,10901,51,1976:1,19,41778,26523,31331,47514,59,47,42,9,22,114611,21.8,16.9,20.7,0.5,0.9,0.1,3.6,72.6,0.7,51.9,33.7,
01017,Alabama,Chambers,688,529,501,,567,17,58.6,,,,20,7,,,,15,15,16,367,20,10,,6.0,23,37,17,3,9257,15,6769:1,26,39530,28558,16691,42945,71,29,30,10,26,33843,21.2,19.1,39.3,0.3,1.1,0.1,2.3,56.0,0.4,52.0,49.1,
01019,Alabama,Cherokee,571,546,923,,533,,,,,,,,,,,13,14,13,90,14,0,15,8.0,33,35,15,3,11470,47,2144:1,,41456,33934,,39764,63,26,20,8,22,25725,19.8,22.0,4.3,0.6,0.3,0.0,1.6,91.7,0.1,50.4,85.7,
01021,Alabama,Chilton,792,516,615,,522,24,56.5,,,,27,7,,,,14,14,14,100,14,1,12,9.0,22,35,19,5,10515,9,10985:1,20,44188,27375,28081,45494,61,36,30,7,16,43941,24.0,16.1,9.9,0.5,0.5,0.2,7.6,80.6,2.4,50.8,86.7,
01023,Alabama,Choctaw,260,522,561,,505,,,,,,,,,,,15,14,17,220,21,7,,5.0,44,38,15,4,11241,31,3248:1,34,32691,23902,8190,45269,57,37,36,11,20,12993,20.3,21.8,41.4,0.2,0.2,0.0,1.0,56.6,0.0,52.4,100.0,
01025,Alabama,Clarke,425,464,561,,410,15,67.5,,,,,,,,,16,15,17,162,25,11,,5.0,35,41,16,3,9935,49,2033:1,29,34061,21373,,42654,56,14,13,6,18,24392,21.9,19.0,44.0,0.5,0.5,0.0,1.4,52.8,0.2,52.7,76.0,
01027,Alabama,Clay,279,531,762,,498,,,,,,,,,,,14,14,14,191,15,2,,6.0,25,39,18,4,9782,44,2249:1,29,38512,31272,28333,41947,62,22,21,,,13492,20.8,20.7,13.9,0.5,0.2,0.0,3.0,80.4,0.5,51.0,100.0,
01029,Alabama,Cleburne,340,592,,,,,,,,,,,,,,13,14,13,111,14,2,22,8.0,26,34,15,4,11134,20,4975:1,,43483,,18992,38288,58,50,37,,23,14924,23.1,18.8,3.1,0.4,0.2,0.1,2.5,92.7,0.8,50.3,100.0,
01031,Alabama,Coffee,734,409,560,,392,27,55.8,113.6,,37.3,32,7,,,,14,13,16,143,15,6,8,5.0,17,37,15,4,9856,57,1766:1,17,48632,28352,40648,53528,47,35,26,3,15,51226,23.7,16.4,17.2,1.4,1.5,0.4,7.0,70.7,1.5,50.6,47.2,
01033,Alabama,Colbert,1026,504,591,,500,37,78.9,,,,39,9,,,,13,13,17,93,17,7,9,5.0,20,37,13,3,10879,122,821:1,18,46572,31813,38750,46991,50,27,21,4,15,54216,21.2,19.2,15.9,0.6,0.6,0.1,2.5,78.8,0.2,51.8,43.9,
01035,Alabama,Conecuh,272,549,629,,490,,,,,,,,,,,18,17,18,262,24,13,,9.0,27,42,19,3,10935,16,6198:1,36,29758,21059,26042,31237,61,22,19,,19,12395,21.1,21.5,46.3,0.4,0.2,0.0,2.0,50.0,0.0,51.9,80.9,
01037,Alabama,Coosa,228,521,565,,520,,,,,,,,,,,15,14,16,150,18,10,,6.0,43,37,16,4,10704,9,10581:1,,36441,25893,,36926,75,58,58,,20,10581,17.5,19.9,30.6,0.6,0.1,0.2,2.2,65.6,1.2,49.3,100.0,
01039,Alabama,Covington,743,530,738,,508,23,69.1,,,,25,8,,,,14,14,14,170,16,4,10,5.0,20,36,16,3,10887,64,1561:1,24,35010,21728,33750,41071,56,44,39,,11,37458,22.0,20.4,12.7,0.7,0.5,0.0,1.6,83.2,0.6,51.8,69.7,
01041,Alabama,Crenshaw,284,525,594,,520,,,,,,,,,,,14,14,15,198,17,17,,6.0,23,38,16,4,10220,86,1159:1,,37374,23125,53472,41686,65,20,20,10,21,13913,23.1,18.6,23.5,0.6,1.6,0.0,1.9,70.8,1.1,51.2,100.0,
01043,Alabama,Cullman,1465,493,,,,37,50.4,,,,43,6,,,,14,14,16,76,13,3,26,6.0,22,35,18,4,10124,78,1289:1,18,41543,32054,29269,39955,52,76,27,3,15,82471,22.5,18.2,1.1,0.6,0.6,0.1,4.3,92.3,1.0,50.6,73.2,
01045,Alabama,Dale,788,458,503,,470,25,53.8,86.8,,46.7,25,5,,,,14,14,14,273,17,11,11,6.0,20,41,15,3,10692,75,1330:1,18,40523,24729,23864,50993,63,31,25,6,15,49226,23.1,16.2,19.9,0.9,1.3,0.2,6.1,69.5,0.9,50.7,50.9,
01047,Alabama,Dallas,902,640,710,,517,29,70.0,,,,28,7,,,,17,17,18,415,30,12,,5.0,27,42,16,2,10329,40,2501:1,28,30488,21640,31458,50974,66,50,50,30,36,40008,24.6,16.8,69.9,0.2,0.5,0.0,1.1,27.6,0.1,53.8,45.6,
