FIPS,State,County,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,Health Outcomes Rank,Health Factors Rank
01001,Alabama,Autauga,18,5,12,15,3,51,11,8
01003,Alabama,Baldwin,4,4,3,7,8,14,3,3
01005,Alabama,Barbour,14,49,57,20,58,16,34,56
01007,Alabama,Bibb,53,25,39,42,42,29,41,37
01009,Alabama,Blount,17,12,11,41,13,54,14,19
01011,Alabama,Bullock,58,61,66,54,62,3,59,62
01013,Alabama,Butler,59,53,51,55,56,11,57,55
01015,Alabama,Calhoun,47,9,32,23,22,50,29,26
01017,Alabama,Chambers,33,50,56,44,44,66,48,52
01019,Alabama,Cherokee,52,11,17,25,28,45,35,21
01021,Alabama,Chilton,43,24,20,47,37,27,38,28
01023,Alabama,Choctaw,49,47,27,35,52,15,50,35
01025,Alabama,Clarke,15,55,44,30,60,6,45,53
01027,Alabama,Clay,30,26,18,48,27,37,22,25
01029,Alabama,Cleburne,44,10,21,58,14,20,27,20
01031,Alabama,Coffee,2,15,8,11,4,9,6,4
01033,Alabama,Colbert,36,20,6,9,24,40,24,12
01035,Alabama,Conecuh,56,63,58,67,63,58,60,65
01037,Alabama,Coosa,21,52,38,40,50,26,44,42
01039,Alabama,Covington,32,39,31,52,17,8,36,23
01041,Alabama,Crenshaw,19,28,45,60,34,2,17,38
01043,Alabama,Cullman,28,17,24,14,10,52,19,16
01045,Alabama,Dale,7,14,16,16,19,17,7,17
01047,Alabama,Dallas,60,59,62,27,64,44,61,63
01049,Alabama,DeKalb,23,22,37,62,39,31,18,45
01051,Alabama,Elmore,12,8,13,13,11,39,9,10
01053,Alabama,Escambia,41,42,49,64,53,23,40,57
01055,Alabama,Etowah,46,36,55,28,36,33,43,39
01057,Alabama,Fayette,31,27,34,36,30,12,23,27
01059,Alabama,Franklin,50,32,28,65,40,7,46,43
01061,Alabama,Geneva,26,35,50,63,31,4,26,48
01063,Alabama,Greene,63,67,65,29,65,21,66,64
01065,Alabama,Hale,35,60,59,38,54,62,54,59
01067,Alabama,Henry,6,30,14,22,15,10,10,14
01069,Alabama,Houston,11,34,35,5,18,19,16,13
01071,Alabama,Jackson,45,21,43,51,38,35,39,41
01073,Alabama,Jefferson,34,16,7,2,20,64,21,7
01075,Alabama,Lamar,22,46,30,56,21,53,37,33
01077,Alabama,Lauderdale,10,18,9,8,7,32,13,6
01079,Alabama,Lawrence,42,19,33,57,26,42,30,34
01081,Alabama,Lee,8,6,4,12,6,56,5,5
01083,Alabama,Limestone,3,7,5,17,5,67,4,9
01085,Alabama,Lowndes,64,65,64,32,67,60,64,66
01087,Alabama,Macon,62,58,61,10,57,25,62,54
01089,Alabama,Madison,5,2,2,3,2,49,2,2
01091,Alabama,Marengo,51,54,46,43,46,22,55,49
01093,Alabama,Marion,39,23,23,61,35,5,28,32
01095,Alabama,Marshall,37,29,29,49,23,28,33,30
01097,Alabama,Mobile,29,37,25,19,45,34,31,29
01099,Alabama,Monroe,48,56,52,53,61,65,56,60
01101,Alabama,Montgomery,27,31,36,6,41,46,25,22
01103,Alabama,Morgan,13,13,10,24,12,57,12,15
01105,Alabama,Perry,61,66,63,46,59,41,63,61
01107,Alabama,Pickens,40,51,42,45,49,18,52,46
01109,Alabama,Pike,20,45,53,26,47,24,32,47
01111,Alabama,Randolph,57,33,19,50,25,38,47,24
01113,Alabama,Russell,16,40,54,33,33,59,20,44
01115,Alabama,St. Clair,25,3,15,34,9,61,8,18
01117,Alabama,Shelby,1,1,1,1,1,47,1,1
01119,Alabama,Sumter,66,62,60,21,55,55,65,58
01121,Alabama,Talladega,54,48,48,31,32,48,53,36
01123,Alabama,Tallapoosa,24,57,40,39,43,43,49,40
01125,Alabama,Tuscaloosa,9,38,22,4,16,36,15,11
01127,Alabama,Walker,65,41,26,18,48,30,58,31
01129,Alabama,Washington,55,43,47,59,51,1,51,51
01131,Alabama,Wilcox,67,64,67,37,66,63,67,67
01133,Alabama,Winston,38,44,41,66,29,13,42,50
02013,Alaska,Aleutians East,NR,NR,NR,NR,NR,NR,NR,NR
02016,Alaska,Aleutians West,13,20,13,14,5,1,19,9
02020,Alaska,Anchorage,10,12,1,2,6,23,10,2
02050,Alaska,Bethel,22,22,20,21,23,20,21,23
02060,Alaska,Bristol Bay,13,13,17,18,13,4,15,15
02068,Alaska,Denali,13,11,6,15,4,9,14,7
02070,Alaska,Dillingham,23,23,22,13,18,14,24,19
02090,Alaska,Fairbanks North Star,6,7,8,1,7,24,8,6
02100,Alaska,Haines,13,8,2,4,9,16,13,5
02105,Alaska,Hoonah-Angoon,13,15,14,17,21,3,16,17
02110,Alaska,Juneau,3,4,3,3,2,6,1,1
02122,Alaska,Kenai Peninsula,11,5,4,10,11,22,5,10
02130,Alaska,Ketchikan Gateway,4,9,15,8,8,17,7,12
02150,Alaska,Kodiak Island,5,2,7,9,3,7,2,4
02158,Alaska,Kusilvak,25,25,25,16,25,19,25,25
02164,Alaska,Lake and Peninsula,13,16,19,23,20,10,18,20
02170,Alaska,Matanuska-Susitna,7,10,10,7,10,25,9,13
02180,Alaska,Nome,20,21,24,19,19,15,20,21
02185,Alaska,North Slope,12,17,21,25,16,11,17,18
02188,Alaska,Northwest Arctic,21,24,23,24,22,13,23,24
02195,Alaska,Petersburg,13,6,11,6,14,2,12,8
02198,Alaska,Prince of Wales-Hyder,2,18,16,20,17,5,11,16
02220,Alaska,Sitka,1,14,5,5,1,12,6,3
02230,Alaska,Skagway,NR,NR,NR,NR,NR,NR,NR,NR
