,State_Name,County_Name,COVID_Confirm,COVID_Death,FIPS,State
0,Alabama,Autauga,149,3,1001,AL
1,Alabama,Baldwin,271,9,1003,AL
2,Alabama,Barbour,104,1,1005,AL
3,Alabama,Bibb,55,1,1007,AL
4,Alabama,Blount,49,1,1009,AL
5,Alabama,Bullock,89,1,1011,AL
6,Alabama,Butler,329,11,1013,AL
7,Alabama,Calhoun,137,3,1015,AL
8,Alabama,Chambers,330,23,1017,AL
9,Alabama,Cherokee,33,2,1019,AL
10,Alabama,Chilton,85,1,1021,AL
11,Alabama,Choctaw,135,4,1023,AL
12,Alabama,Clarke,92,2,1025,AL
13,Alabama,Clay,27,2,1027,AL
14,Alabama,Cleburne,13,1,1029,AL
15,Alabama,Coffee,189,1,1031,AL
16,Alabama,Colbert,117,2,1033,AL
17,Alabama,Conecuh,24,1,1035,AL
18,Alabama,Coosa,33,1,1037,AL
19,Alabama,Covington,63,1,1039,AL
20,Alabama,Crenshaw,53,2,1041,AL
21,Alabama,Cullman,73,0,1043,AL
22,Alabama,Dale,77,0,1045,AL
23,Alabama,Dallas,182,3,1047,AL
24,Alabama,DeKalb,209,3,1049,AL
25,Alabama,Elmore,242,7,1051,AL
26,Alabama,Escambia,39,3,1053,AL
27,Alabama,Etowah,225,10,1055,AL
28,Alabama,Fayette,11,0,1057,AL
29,Alabama,Franklin,422,5,1059,AL
30,Alabama,Geneva,28,0,1061,AL
31,Alabama,Greene,88,4,1063,AL
32,Alabama,Hale,119,3,1065,AL
33,Alabama,Henry,50,1,1067,AL
34,Alabama,Houston,156,3,1069,AL
35,Alabama,Jackson,69,2,1071,AL
36,Alabama,Jefferson,1498,88,1073,AL
37,Alabama,Lamar,17,0,1075,AL
38,Alabama,Lauderdale,122,2,1077,AL
39,Alabama,Lawrence,40,0,1079,AL
40,Alabama,Lee,471,32,1081,AL
41,Alabama,Limestone,72,0,1083,AL
42,Alabama,Lowndes,172,10,1085,AL
43,Alabama,Macon,58,2,1087,AL
44,Alabama,Madison,286,4,1089,AL
45,Alabama,Marengo,125,6,1091,AL
46,Alabama,Marion,107,10,1093,AL
47,Alabama,Marshall,642,9,1095,AL
48,Alabama,Mobile,1916,107,1097,AL
49,Alabama,Monroe,23,2,1099,AL
50,Alabama,Montgomery,1096,29,1101,AL
51,Alabama,Morgan,144,1,1103,AL
52,Alabama,Perry,28,0,1105,AL
53,Alabama,Pickens,86,4,1107,AL
54,Alabama,Pike,127,0,1109,AL
55,Alabama,Randolph,123,7,1111,AL
56,Alabama,Russell,120,0,1113,AL
57,Alabama,Shelby,420,19,1117,AL
58,Alabama,St. Clair,98,1,1115,AL
59,Alabama,Sumter,172,6,1119,AL
60,Alabama,Talladega,85,2,1121,AL
61,Alabama,Tallapoosa,387,62,1123,AL
62,Alabama,Tuscaloosa,464,9,1125,AL
63,Alabama,Walker,179,1,1127,AL
64,Alabama,Washington,63,5,1129,AL
65,Alabama,Wilcox,110,6,1131,AL
66,Alabama,Winston,52,0,1133,AL
81,Arizona,Apache,1139,23,4001,AZ
82,Arizona,Cochise,56,2,4003,AZ
83,Arizona,Coconino,979,69,4005,AZ
84,Arizona,Gila,24,1,4007,AZ
85,Arizona,Graham,21,0,4009,AZ
86,Arizona,Greenlee,3,0,4011,AZ
87,Arizona,La Paz,48,2,4012,AZ
88,Arizona,Maricopa,7950,368,4013,AZ
89,Arizona,Mohave,288,33,4015,AZ
90,Arizona,Navajo,1470,53,4017,AZ
91,Arizona,Pima,1974,174,4019,AZ
92,Arizona,Pinal,749,37,4021,AZ
93,Arizona,Santa Cruz,131,0,4023,AZ
94,Arizona,Yavapai,284,6,4025,AZ
95,Arizona,Yuma,492,7,4027,AZ
96,Arkansas,Arkansas,2,0,5001,AR
97,Arkansas,Ashley,19,0,5003,AR
98,Arkansas,Baxter,6,0,5005,AR
99,Arkansas,Benton,212,0,5007,AR
100,Arkansas,Boone,5,0,5009,AR
101,Arkansas,Bradley,16,1,5011,AR
102,Arkansas,Carroll,9,0,5015,AR
103,Arkansas,Chicot,12,0,5017,AR
104,Arkansas,Clark,36,0,5019,AR
105,Arkansas,Clay,4,0,5021,AR
106,Arkansas,Cleburne,73,4,5023,AR
107,Arkansas,Cleveland,18,0,5025,AR
108,Arkansas,Columbia,20,2,5027,AR
109,Arkansas,Conway,14,1,5029,AR
110,Arkansas,Craighead,174,0,5031,AR
111,Arkansas,Crawford,12,0,5033,AR
112,Arkansas,Crittenden,276,8,5035,AR
113,Arkansas,Cross,42,0,5037,AR
114,Arkansas,Dallas,1,0,5039,AR
115,Arkansas,Desha,18,0,5041,AR
116,Arkansas,Drew,19,1,5043,AR
117,Arkansas,Faulkner,98,3,5045,AR
118,Arkansas,Franklin,2,0,5047,AR
119,Arkansas,Fulton,6,0,5049,AR
120,Arkansas,Garland,132,1,5051,AR
121,Arkansas,Grant,16,0,5053,AR
122,Arkansas,Greene,42,0,5055,AR
123,Arkansas,Hempstead,11,1,5057,AR
124,Arkansas,Hot Spring,29,0,5059,AR
125,Arkansas,Howard,15,0,5061,AR
126,Arkansas,Independence,27,0,5063,AR
127,Arkansas,Izard,14,0,5065,AR
128,Arkansas,Jackson,1,0,5067,AR
129,Arkansas,Jefferson,501,23,5069,AR
130,Arkansas,Johnson,36,0,5071,AR
131,Arkansas,Lafayette,9,1,5073,AR
132,Arkansas,Lawrence,81,5,5075,AR
