,State_Name,County_Name,COVID_Confirm,COVID_Death,FIPS,State,cluster,Clusters
0,Alabama,Autauga,149,3,1001,AL,0,1
1,Alabama,Baldwin,271,9,1003,AL,0,1
2,Alabama,Barbour,104,1,1005,AL,2,3
3,Alabama,Bibb,55,1,1007,AL,2,3
4,Alabama,Blount,49,1,1009,AL,2,3
5,Alabama,Bullock,89,1,1011,AL,0,1
6,Alabama,Butler,329,11,1013,AL,2,3
7,Alabama,Calhoun,137,3,1015,AL,2,3
8,Alabama,Chambers,330,23,1017,AL,2,3
9,Alabama,Cherokee,33,2,1019,AL,2,3
10,Alabama,Chilton,85,1,1021,AL,2,3
11,Alabama,Choctaw,135,4,1023,AL,2,3
12,Alabama,Clarke,92,2,1025,AL,2,3
13,Alabama,Clay,27,2,1027,AL,2,3
14,Alabama,Cleburne,13,1,1029,AL,2,3
15,Alabama,Coffee,189,1,1031,AL,0,1
16,Alabama,Colbert,117,2,1033,AL,2,3
17,Alabama,Conecuh,24,1,1035,AL,2,3
18,Alabama,Coosa,33,1,1037,AL,2,3
19,Alabama,Covington,63,1,1039,AL,2,3
20,Alabama,Crenshaw,53,2,1041,AL,2,3
21,Alabama,Cullman,73,0,1043,AL,2,3
22,Alabama,Dale,77,0,1045,AL,0,1
23,Alabama,Dallas,182,3,1047,AL,0,1
24,Alabama,DeKalb,209,3,1049,AL,2,3
25,Alabama,Elmore,242,7,1051,AL,0,1
26,Alabama,Escambia,39,3,1053,AL,2,3
27,Alabama,Etowah,225,10,1055,AL,2,3
28,Alabama,Fayette,11,0,1057,AL,2,3
29,Alabama,Franklin,422,5,1059,AL,2,3
30,Alabama,Geneva,28,0,1061,AL,2,3
31,Alabama,Greene,88,4,1063,AL,2,3
32,Alabama,Hale,119,3,1065,AL,0,1
33,Alabama,Henry,50,1,1067,AL,2,3
34,Alabama,Houston,156,3,1069,AL,0,1
35,Alabama,Jackson,69,2,1071,AL,2,3
36,Alabama,Jefferson,1498,88,1073,AL,0,1
37,Alabama,Lamar,17,0,1075,AL,2,3
38,Alabama,Lauderdale,122,2,1077,AL,2,3
39,Alabama,Lawrence,40,0,1079,AL,2,3
40,Alabama,Lee,471,32,1081,AL,0,1
41,Alabama,Limestone,72,0,1083,AL,0,1
42,Alabama,Lowndes,172,10,1085,AL,0,1
43,Alabama,Macon,58,2,1087,AL,2,3
44,Alabama,Madison,286,4,1089,AL,1,2
45,Alabama,Marengo,125,6,1091,AL,0,1
46,Alabama,Marion,107,10,1093,AL,2,3
47,Alabama,Marshall,642,9,1095,AL,2,3
48,Alabama,Mobile,1916,107,1097,AL,0,1
49,Alabama,Monroe,23,2,1099,AL,2,3
50,Alabama,Montgomery,1096,29,1101,AL,0,1
51,Alabama,Morgan,144,1,1103,AL,0,1
52,Alabama,Perry,28,0,1105,AL,2,3
53,Alabama,Pickens,86,4,1107,AL,2,3
54,Alabama,Pike,127,0,1109,AL,2,3
55,Alabama,Randolph,123,7,1111,AL,2,3
56,Alabama,Russell,120,0,1113,AL,2,3
57,Alabama,Shelby,420,19,1117,AL,1,2
58,Alabama,St. Clair,98,1,1115,AL,0,1
59,Alabama,Sumter,172,6,1119,AL,0,1
60,Alabama,Talladega,85,2,1121,AL,2,3
